"No.","Time","Source","Destination","Protocol","Length","Info"
"46","4.076613","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=33 Ack=13 Win=65370 Len=0"
"47","4.115737","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=41 Win=64672 Len=0"
"48","4.313409","25.94.9.254","25.255.255.255","NBNS","92","Name query NB WORKGROUP<1c>"
"49","4.313538","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=13 Ack=33 Win=65228 Len=1"
"50","4.316330","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=33 Ack=14 Win=65369 Len=4"
"51","4.603770","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=41 Ack=1 Win=65472 Len=5"
"52","4.613896","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=14 Ack=37 Win=65224 Len=1"
"53","4.616628","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=37 Ack=15 Win=65368 Len=4"
"54","4.644910","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=46 Win=64667 Len=0"
"55","4.838494","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=15 Ack=41 Win=65220 Len=0"
"56","5.006861","fe80::d8ec:85df:8c06:42b1","ff02::1:fff6:6c38","ICMPv6","86","Neighbor Solicitation for fe80::a633:d7ff:fef6:6c38 from 7a:79:19:72:9d:fd"
"57","5.103957","25.94.9.254","25.255.255.255","NBNS","92","Name query NB WORKGROUP<1c>"
"58","5.134027","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=46 Ack=1 Win=65472 Len=5"
"59","5.175377","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=51 Win=64662 Len=0"
"60","5.275948","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=15 Ack=41 Win=65220 Len=1"
"61","5.278419","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=41 Ack=16 Win=65367 Len=4"
"62","5.336924","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=16 Ack=45 Win=65216 Len=1"
"63","5.377728","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=45 Ack=17 Win=65366 Len=0"
"64","5.633529","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=17 Ack=45 Win=65216 Len=1"
"65","5.650620","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=51 Ack=1 Win=65472 Len=5"
"66","5.673620","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=45 Ack=18 Win=65365 Len=0"
"67","5.690613","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=56 Win=64657 Len=0"
"68","6.153367","25.59.115.113","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"69","6.180035","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=56 Ack=1 Win=65472 Len=5"
"70","6.221548","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=61 Win=64652 Len=0"
"71","6.343962","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=18 Ack=45 Win=65216 Len=1"
"72","6.346905","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=45 Ack=19 Win=65364 Len=4"
"73","6.396824","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=19 Ack=49 Win=65212 Len=1"
"74","6.400187","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=49 Ack=20 Win=65363 Len=4"
"75","6.679966","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=20 Ack=53 Win=65208 Len=0"
"76","6.680020","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=20 Ack=53 Win=65208 Len=1"
"77","6.709234","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=61 Ack=1 Win=65472 Len=5"
"78","6.720571","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=53 Ack=21 Win=65362 Len=0"
"79","6.750011","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=66 Win=64647 Len=0"
"80","6.943134","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=21 Ack=53 Win=65208 Len=1"
"81","6.947123","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=53 Ack=22 Win=65361 Len=4"
"82","7.223136","25.59.115.113","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"83","7.227367","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=66 Ack=1 Win=65472 Len=5"
"84","7.238153","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=22 Ack=57 Win=65204 Len=1"
"85","7.240117","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=57 Ack=23 Win=65360 Len=4"
"86","7.267913","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=71 Win=64642 Len=0"
"87","7.469819","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=23 Ack=61 Win=65200 Len=0"
"88","7.645726","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=23 Ack=61 Win=65200 Len=1"
"89","7.686609","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=61 Ack=24 Win=65359 Len=0"
"90","7.757877","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=71 Ack=1 Win=65472 Len=5"
"91","7.797877","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=76 Win=64637 Len=0"
"92","7.996863","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=24 Ack=61 Win=65200 Len=1"
"93","7.999794","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=61 Ack=25 Win=65358 Len=4"
"94","8.103864","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=25 Ack=65 Win=65196 Len=0"
"95","8.108337","25.59.115.113","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"96","8.276638","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=76 Ack=1 Win=65472 Len=5"
"97","8.288603","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=25 Ack=65 Win=65196 Len=1"
"98","8.290953","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=65 Ack=26 Win=65357 Len=4"
"99","8.317736","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=81 Win=64632 Len=0"
"100","8.396269","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=26 Ack=69 Win=65192 Len=0"
"101","8.566069","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=26 Ack=69 Win=65192 Len=1"
"102","8.609354","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=69 Ack=27 Win=65356 Len=0"
"103","8.804602","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=81 Ack=1 Win=65472 Len=5"
"104","8.841183","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=27 Ack=69 Win=65192 Len=1"
"105","8.844461","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=69 Ack=28 Win=65355 Len=4"
"106","8.845095","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=86 Win=64627 Len=0"
"107","8.947982","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=28 Ack=73 Win=65188 Len=0"
"108","9.106626","25.59.115.113","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"109","9.178805","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=28 Ack=73 Win=65188 Len=1"
"110","9.219691","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=73 Ack=29 Win=65354 Len=0"
"111","9.320748","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=86 Ack=1 Win=65472 Len=5"
"112","9.360807","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=91 Win=64622 Len=0"
"113","9.551476","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=29 Ack=73 Win=65188 Len=1"
"114","9.554162","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=73 Ack=30 Win=65353 Len=4"
"115","9.657869","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=30 Ack=77 Win=65184 Len=0"
"116","9.846882","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=30 Ack=77 Win=65184 Len=1"
"117","9.852595","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=91 Ack=1 Win=65472 Len=5"
"118","9.888161","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=77 Ack=31 Win=65352 Len=0"
"119","9.894607","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=96 Win=64617 Len=0"
"120","10.252130","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=31 Ack=77 Win=65184 Len=1"
"121","10.254869","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=77 Ack=32 Win=65351 Len=4"
"122","10.360285","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=32 Ack=81 Win=65180 Len=0"
"123","10.384771","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=96 Ack=1 Win=65472 Len=5"
"124","10.424770","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=101 Win=64612 Len=0"
"125","10.546942","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=32 Ack=81 Win=65180 Len=1"
"126","10.549327","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=81 Ack=33 Win=65350 Len=4"
"127","10.655239","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=33 Ack=85 Win=65176 Len=0"
"128","10.882977","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=33 Ack=85 Win=65176 Len=1"
"129","10.902983","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=101 Ack=1 Win=65472 Len=5"
"130","10.924571","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=85 Ack=34 Win=65349 Len=0"
"131","10.944146","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=106 Win=64607 Len=0"
"132","11.290448","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=34 Ack=85 Win=65176 Len=1"
