"No.","Time","Source","Destination","Protocol","Length","Info"
"49","2.987630","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [ACK] Seq=10 Ack=25 Win=65112 Len=0"
"50","3.167676","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=10 Ack=25 Win=65112 Len=1"
"51","3.203905","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=31 Ack=1 Win=65472 Len=5"
"52","3.208140","25.114.157.253","25.59.115.113","TCP","54","1234  >  52443 [ACK] Seq=25 Ack=11 Win=64779 Len=0"
"53","3.244058","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=36 Win=65247 Len=0"
"54","3.251790","25.59.115.113","224.0.0.251","MDNS","111","Standard query response 0x0000 A, cache flush 25.59.115.113 NSEC, cache flush DESKTOP-328MM0M.local"
"55","3.256667","25.59.115.113","224.0.0.251","MDNS","91","Standard query response 0x0000 A, cache flush 192.168.56.1"
"56","3.542828","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=11 Ack=25 Win=65112 Len=1"
"57","3.547358","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=25 Ack=12 Win=64778 Len=4"
"58","3.719345","25.59.115.113","224.0.0.251","MDNS","91","Standard query response 0x0000 A, cache flush 192.168.18.28"
"59","3.722237","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [ACK] Seq=12 Ack=29 Win=65108 Len=0"
"60","3.724298","25.59.115.113","239.255.255.250","SSDP","535","NOTIFY * HTTP/1.1 "
"61","3.724970","fe80::141e:c36:d76e:62e8","ff02::c","SSDP","562","NOTIFY * HTTP/1.1 "
"62","3.728383","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=36 Ack=1 Win=65472 Len=5"
"63","3.768986","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=41 Win=65242 Len=0"
"64","3.808855","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=12 Ack=29 Win=65108 Len=1"
"65","3.813027","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=29 Ack=13 Win=64777 Len=4"
"66","4.096371","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=13 Ack=33 Win=65104 Len=1"
"67","4.137655","25.114.157.253","25.59.115.113","TCP","54","1234  >  52443 [ACK] Seq=33 Ack=14 Win=64776 Len=0"
"68","4.201792","25.59.115.113","239.255.255.250","SSDP","563","NOTIFY * HTTP/1.1 "
"69","4.211335","fe80::141e:c36:d76e:62e8","ff02::c","SSDP","590","NOTIFY * HTTP/1.1 "
"70","4.251557","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=41 Ack=1 Win=65472 Len=5"
"71","4.258451","7a:79:19:72:9d:fd","7a:79:19:3b:73:71","ARP","42","Who has 25.59.115.113? Tell 25.114.157.253"
"72","4.258528","7a:79:19:3b:73:71","7a:79:19:72:9d:fd","ARP","60","25.59.115.113 is at 7a:79:19:3b:73:71"
"73","4.291629","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=46 Win=65237 Len=0"
"74","4.453188","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=14 Ack=33 Win=65104 Len=1"
"75","4.455151","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=33 Ack=15 Win=64775 Len=4"
"76","4.502416","25.59.115.113","239.255.255.250","SSDP","549","NOTIFY * HTTP/1.1 "
"77","4.514201","fe80::141e:c36:d76e:62e8","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"78","4.565267","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [ACK] Seq=15 Ack=37 Win=65100 Len=0"
"79","4.758932","2620:9b::1972:9dfd","2600:1419:800::b3b8:d6a2","ICMPv6","126","Echo (ping) request id=0x0001, seq=865, hop limit=9 (no response found!)"
"80","4.821742","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=15 Ack=37 Win=65100 Len=1"
"81","4.824809","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=46 Ack=1 Win=65472 Len=5"
"82","4.862139","25.114.157.253","25.59.115.113","TCP","54","1234  >  52443 [ACK] Seq=37 Ack=16 Win=64774 Len=0"
"83","4.865135","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=51 Win=65232 Len=0"
"84","5.082274","25.59.115.113","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"85","5.082408","fe80::141e:c36:d76e:62e8","ff02::c","SSDP","510","NOTIFY * HTTP/1.1 "
"86","5.082408","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=16 Ack=37 Win=65100 Len=1"
"87","5.085352","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=37 Ack=17 Win=64773 Len=4"
"88","5.245082","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [ACK] Seq=17 Ack=41 Win=65096 Len=0"
"89","5.310707","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=51 Ack=1 Win=65472 Len=5"
"90","5.324231","25.59.115.113","239.255.255.250","SSDP","492","NOTIFY * HTTP/1.1 "
"91","5.333237","fe80::141e:c36:d76e:62e8","ff02::c","SSDP","519","NOTIFY * HTTP/1.1 "
"92","5.350603","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=56 Win=65227 Len=0"
"93","5.382311","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=17 Ack=41 Win=65096 Len=1"
"94","5.386255","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=41 Ack=18 Win=64772 Len=4"
"95","5.507068","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [ACK] Seq=18 Ack=45 Win=65092 Len=0"
"96","5.624526","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=18 Ack=45 Win=65092 Len=1"
"97","5.665065","25.114.157.253","25.59.115.113","TCP","54","1234  >  52443 [ACK] Seq=45 Ack=19 Win=64771 Len=0"
"98","5.758580","2620:9b::1972:9dfd","2620:9b::1900:1","ICMPv6","86","Neighbor Solicitation for 2620:9b::1900:1 from 7a:79:19:72:9d:fd"
"99","5.758714","2620:9b::1900:1","2620:9b::1972:9dfd","ICMPv6","86","Neighbor Advertisement 2620:9b::1900:1 (sol, ovr) is at 7a:79:19:00:00:01"
"100","5.901288","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=19 Ack=45 Win=65092 Len=1"
"101","5.942508","25.114.157.253","25.59.115.113","TCP","54","1234  >  52443 [ACK] Seq=45 Ack=20 Win=64770 Len=0"
"102","6.397668","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=20 Ack=45 Win=65092 Len=1"
"103","6.397668","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=56 Ack=1 Win=65472 Len=5"
"104","6.405369","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=45 Ack=21 Win=64769 Len=4"
"105","6.438042","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=61 Win=65222 Len=0"
"106","6.569047","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [ACK] Seq=21 Ack=49 Win=65088 Len=0"
"107","6.665769","25.59.115.113","239.255.255.250","SSDP","535","NOTIFY * HTTP/1.1 "
"108","6.674559","fe80::141e:c36:d76e:62e8","ff02::c","SSDP","562","NOTIFY * HTTP/1.1 "
"109","6.705547","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=21 Ack=49 Win=65088 Len=1"
"110","6.745531","25.114.157.253","25.59.115.113","TCP","54","1234  >  52443 [ACK] Seq=49 Ack=22 Win=64768 Len=0"
"111","6.925579","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=61 Ack=1 Win=65472 Len=5"
"112","6.953284","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=22 Ack=49 Win=65088 Len=1"
"113","6.956572","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=49 Ack=23 Win=64767 Len=4"
"114","6.966306","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=66 Win=65217 Len=0"
"115","7.191898","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [ACK] Seq=23 Ack=53 Win=65084 Len=0"
"116","7.355072","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=23 Ack=53 Win=65084 Len=1"
"117","7.386371","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=66 Ack=1 Win=65472 Len=5"
"118","7.394933","25.114.157.253","25.59.115.113","TCP","54","1234  >  52443 [ACK] Seq=53 Ack=24 Win=64766 Len=0"
"119","7.427154","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=71 Win=65212 Len=0"
"120","7.715338","25.59.115.113","25.114.157.253","TCP","60","52443  >  1234 [PSH, ACK] Seq=24 Ack=53 Win=65084 Len=1"
"121","7.716844","25.114.157.253","25.59.115.113","TCP","58","1234  >  52443 [PSH, ACK] Seq=53 Ack=25 Win=64765 Len=4"
"122","7.982457","25.94.9.254","25.114.157.253","TCP","60","55416  >  1234 [PSH, ACK] Seq=71 Ack=1 Win=65472 Len=5"
"123","8.023526","25.114.157.253","25.94.9.254","TCP","54","1234  >  55416 [ACK] Seq=1 Ack=76 Win=65207 Len=0"
